"id","timestamp","team_id","gacha_currency_delta","type","banner_slug","puzzle_slug","quest_slug","event_number","submitted_answer","guess_status","client_id","data","internal_data"
1717,"2026-01-17 12:39:46.401958-05",33,4000,"round_unlocked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1718,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","meme_scenes",NULL,0,NULL,NULL,NULL,"{""clue_id"": ""art-63""}",NULL
1719,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","meme_scenes",NULL,1,NULL,NULL,NULL,"{""clue_id"": ""art-38""}",NULL
1720,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","common_scenes",NULL,2,NULL,NULL,NULL,"{""clue_id"": ""art-20""}",NULL
1721,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","common_scenes",NULL,3,NULL,NULL,NULL,"{""clue_id"": ""art-1""}",NULL
1722,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","common_scenes",NULL,4,NULL,NULL,NULL,"{""clue_id"": ""art-22""}",NULL
1723,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","meme_scenes",NULL,5,NULL,NULL,NULL,"{""clue_id"": ""art-39""}",NULL
1724,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","common_scenes",NULL,6,NULL,NULL,NULL,"{""clue_id"": ""art-33""}",NULL
1725,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","common_scenes",NULL,7,NULL,NULL,NULL,"{""clue_id"": ""art-2""}",NULL
1726,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","meme_scenes",NULL,8,NULL,NULL,NULL,"{""clue_id"": ""art-39""}",NULL
1727,"2026-01-17 12:40:21.337633-05",33,-100,"clue_pulled","art","meme_scenes",NULL,9,NULL,NULL,NULL,"{""clue_id"": ""art-57""}",NULL
1728,"2026-01-17 12:40:24.027723-05",33,-100,"clue_pulled","art","common_scenes",NULL,10,NULL,NULL,NULL,"{""clue_id"": ""art-11""}",NULL
1729,"2026-01-17 12:40:24.043346-05",33,-100,"clue_pulled","art","common_scenes",NULL,11,NULL,NULL,NULL,"{""clue_id"": ""art-3""}",NULL
1730,"2026-01-17 12:40:55.019919-05",33,-100,"clue_pulled","art","meme_scenes",NULL,12,NULL,NULL,NULL,"{""clue_id"": ""art-41""}",NULL
1731,"2026-01-17 12:41:04.679478-05",33,-100,"clue_pulled","words","charfactor",NULL,0,NULL,NULL,NULL,"{""clue_id"": ""words-25""}",NULL
1732,"2026-01-17 12:41:12.110228-05",33,-100,"clue_pulled","art","meme_scenes",NULL,13,NULL,NULL,NULL,"{""clue_id"": ""art-42""}",NULL
1733,"2026-01-17 12:41:14.570792-05",33,0,"quest_guess","art",NULL,"art-quest-A",NULL,"c0278d95edbf7e0f","incorrect",NULL,NULL,NULL
1734,"2026-01-17 12:41:32.609049-05",33,-100,"clue_pulled","cells","building_blocks",NULL,0,NULL,NULL,NULL,"{""clue_id"": ""cells-33""}",NULL
1735,"2026-01-17 12:41:56.214695-05",33,0,"quest_guess","art",NULL,"art-quest-C",NULL,"duncan","incorrect",NULL,NULL,NULL
1736,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","common_scenes",NULL,14,NULL,NULL,NULL,"{""clue_id"": ""art-4""}",NULL
1737,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","common_scenes",NULL,15,NULL,NULL,NULL,"{""clue_id"": ""art-5""}",NULL
1738,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,16,NULL,NULL,NULL,"{""clue_id"": ""art-43""}",NULL
1739,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,17,NULL,NULL,NULL,"{""clue_id"": ""art-39""}",NULL
1740,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,18,NULL,NULL,NULL,"{""clue_id"": ""art-50""}",NULL
1741,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,19,NULL,NULL,NULL,"{""clue_id"": ""art-43""}",NULL
1742,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,20,NULL,NULL,NULL,"{""clue_id"": ""art-42""}",NULL
1743,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","common_scenes",NULL,21,NULL,NULL,NULL,"{""clue_id"": ""art-32""}",NULL
1744,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,22,NULL,NULL,NULL,"{""clue_id"": ""art-45""}",NULL
1745,"2026-01-17 12:42:03.608205-05",33,-100,"clue_pulled","art","meme_scenes",NULL,23,NULL,NULL,NULL,"{""clue_id"": ""art-41""}",NULL
1746,"2026-01-17 12:42:17.92721-05",33,800,"quest_guess","words",NULL,"words-quest-D",NULL,"kernel","correct",NULL,NULL,NULL
1747,"2026-01-17 12:42:28.189025-05",33,800,"quest_guess","art",NULL,"art-quest-C",NULL,"OPHELIA","correct",NULL,NULL,NULL
1748,"2026-01-17 12:42:38.265582-05",33,100,"quest_guess","hourlies",NULL,"hourlies-0",NULL,"done","correct",NULL,NULL,NULL
1749,"2026-01-17 12:42:38.265582-05",33,0,"hourly_submission","hourlies",NULL,"hourlies-0",NULL,"puzzlehunt",NULL,"33:RHp27K9v6hzBSe76",NULL,NULL
1750,"2026-01-17 12:42:42.270597-05",33,0,"quest_guess","art",NULL,"art-quest-B",NULL,"21","incorrect",NULL,NULL,NULL
1751,"2026-01-17 12:42:48.229886-05",33,100,"quest_guess","hourlies",NULL,"hourlies-1",NULL,"done","correct",NULL,NULL,NULL
1752,"2026-01-17 12:42:48.229886-05",33,0,"hourly_submission","hourlies",NULL,"hourlies-1",NULL,"meta puzzle",NULL,"33:RHp27K9v6hzBSe76",NULL,NULL
1753,"2026-01-17 12:43:01.677978-05",33,100,"quest_guess","hourlies",NULL,"hourlies-2",NULL,"done","correct",NULL,NULL,NULL
1754,"2026-01-17 12:43:01.677978-05",33,0,"hourly_submission","hourlies",NULL,"hourlies-2",NULL,"New Vassar",NULL,"33:RHp27K9v6hzBSe76",NULL,NULL
1755,"2026-01-17 12:43:11.158536-05",33,100,"quest_guess","hourlies",NULL,"hourlies-3",NULL,"done","correct",NULL,NULL,NULL
1756,"2026-01-17 12:43:11.158536-05",33,0,"hourly_submission","hourlies",NULL,"hourlies-3",NULL,"Crossword",NULL,"33:RHp27K9v6hzBSe76",NULL,NULL
1757,"2026-01-17 12:43:17.225608-05",33,100,"quest_guess","hourlies",NULL,"hourlies-4",NULL,"done","correct",NULL,NULL,NULL
1758,"2026-01-17 12:43:17.225608-05",33,0,"hourly_submission","hourlies",NULL,"hourlies-4",NULL,"soft",NULL,"33:RHp27K9v6hzBSe76",NULL,NULL
1759,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","meme_scenes",NULL,24,NULL,NULL,NULL,"{""clue_id"": ""art-50""}",NULL
1760,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","meme_scenes",NULL,25,NULL,NULL,NULL,"{""clue_id"": ""art-51""}",NULL
1761,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","meme_scenes",NULL,26,NULL,NULL,NULL,"{""clue_id"": ""art-47""}",NULL
1762,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","common_scenes",NULL,27,NULL,NULL,NULL,"{""clue_id"": ""art-6""}",NULL
1763,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","common_scenes",NULL,28,NULL,NULL,NULL,"{""clue_id"": ""art-7""}",NULL
1764,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","meme_scenes",NULL,29,NULL,NULL,NULL,"{""clue_id"": ""art-48""}",NULL
1765,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","meme_scenes",NULL,30,NULL,NULL,NULL,"{""clue_id"": ""art-45""}",NULL
1766,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","common_scenes",NULL,31,NULL,NULL,NULL,"{""clue_id"": ""art-4""}",NULL
1767,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","common_scenes",NULL,32,NULL,NULL,NULL,"{""clue_id"": ""art-2""}",NULL
1768,"2026-01-17 12:43:26.305732-05",33,-100,"clue_pulled","art","common_scenes",NULL,33,NULL,NULL,NULL,"{""clue_id"": ""art-32""}",NULL
1769,"2026-01-17 12:43:38.871008-05",33,-100,"clue_pulled","art","common_scenes",NULL,34,NULL,NULL,NULL,"{""clue_id"": ""art-22""}",NULL
1770,"2026-01-17 12:43:43.521355-05",33,800,"quest_guess","art",NULL,"art-quest-B",NULL,"22","correct",NULL,NULL,NULL
1771,"2026-01-17 12:44:10.625898-05",33,0,"quest_guess","art",NULL,"art-quest-F",NULL,"bathroom","incorrect",NULL,NULL,NULL
1772,"2026-01-17 12:44:12.634889-05",33,0,"quest_guess","art",NULL,"art-quest-D",NULL,"7","incorrect",NULL,NULL,NULL
1773,"2026-01-17 12:44:13.017598-05",33,-100,"clue_pulled","words","charfactor",NULL,1,NULL,NULL,NULL,"{""clue_id"": ""words-26""}",NULL
1774,"2026-01-17 12:44:13.017598-05",33,-100,"clue_pulled","words","as_the_fly_crows",NULL,2,NULL,NULL,NULL,"{""clue_id"": ""words-2""}",NULL
